image_name,image_type,n_test_transitions,global_accuracy,markov_accuracy,conditioned_accuracy,conditioned_gain_pp
5963.png,h_bar,645,0.03565891472868217,0.17054263565891473,0.19534883720930232,2.4806201550387597
5966.png,h_bar,460,0.0391304347826087,0.31956521739130433,0.26304347826086955,-5.6521739130434785
5975.png,pie,423,0.004728132387706856,0.19148936170212766,0.2198581560283688,2.836879432624115
5977.png,h_bar,268,0.08955223880597014,0.34701492537313433,0.29850746268656714,-4.850746268656719
5985.png,h_bar,508,0.013779527559055118,0.25984251968503935,0.2795275590551181,1.968503937007876
59896688006025.png,line,480,0.022916666666666665,0.2625,0.27708333333333335,1.4583333333333337
6018.png,h_bar,561,0.0338680926916221,0.2531194295900178,0.24955436720142601,-0.35650623885918054
6021.png,h_bar,217,0.041474654377880185,0.3087557603686636,0.3548387096774194,4.608294930875578
6073.png,line,472,0.03177966101694915,0.3008474576271186,0.2923728813559322,-0.8474576271186418
6078.png,line,294,0.023809523809523808,0.30272108843537415,0.282312925170068,-2.0408163265306145
6088.png,h_bar,661,0.0226928895612708,0.3177004538577912,0.2526475037821483,-6.5052950075642935
6100.png,h_bar,445,0.02696629213483146,0.2966292134831461,0.32134831460674157,2.4719101123595486
6102.png,h_bar,593,0.03035413153456998,0.30522765598650925,0.2917369308600337,-1.3490725126475533
6113.png,h_bar,641,0.0187207488299532,0.37597503900156004,0.34477379095163807,-3.120124804992197
6118.png,h_bar,471,0.06581740976645435,0.386411889596603,0.34394904458598724,-4.2462845010615755
6148.png,line,375,0.016,0.3546666666666667,0.2986666666666667,-5.6
62323984002886.png,line,260,0.0,0.25384615384615383,0.2692307692307692,1.5384615384615385
63144409008959.png,h_bar,138,0.028985507246376812,0.13768115942028986,0.18115942028985507,4.3478260869565215
6364.png,pie,167,0.017964071856287425,0.25748502994011974,0.3592814371257485,10.179640718562876
6381.png,line,296,0.0,0.19594594594594594,0.19932432432432431,0.33783783783783716
6382.png,h_bar,411,0.014598540145985401,0.23114355231143552,0.24330900243309003,1.2165450121654513
6528.png,line,403,0.04218362282878412,0.228287841191067,0.3176178660049628,8.933002481389579
657.png,h_bar,153,0.16339869281045752,0.24183006535947713,0.20261437908496732,-3.9215686274509802
65782494001329.png,line,263,0.034220532319391636,0.24334600760456274,0.24714828897338403,0.38022813688212975
